WARD,ANC,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE
80,90,128,225,372,15207,705,7819,42,19,9,1,12,16
80,88,129,215,385,15208,706,7820,41,19,9,0,12,16
80,88,129,215,385,15209,707,7821,41,19,9,1,12,16
80,88,129,215,385,15210,531,7639,41,19,10,0,12,16
80,89,130,231,484,15211,585,7694,45,19,10,4,12,15
80,89,129,221,370,15212,511,7618,43,19,9,1,12,16
80,89,130,220,384,15213,708,7822,44,19,11,2,12,16
80,89,130,230,369,15214,505,7612,44,19,9,0,12,16
80,89,129,220,384,15215,550,7658,43,19,10,1,12,16
80,89,130,231,484,15216,585,7694,44,19,11,2,12,16
80,89,130,231,484,15217,630,7823,44,19,10,0,12,16
80,88,129,212,383,15218,709,7824,41,19,10,1,12,16
80,90,128,225,372,15219,710,7825,42,19,10,5,12,16
80,89,130,231,369,15220,598,7706,44,19,11,1,12,16
80,89,130,231,369,15221,622,7690,44,19,11,1,12,16
80,89,130,220,384,15222,711,7826,44,19,11,0,12,16
80,88,129,214,386,15223,712,7827,41,19,9,1,12,16
80,88,129,215,390,15224,554,7662,56,20,9,0,12,16
80,88,129,214,386,15225,596,7704,41,19,11,0,12,16
80,89,129,221,383,15226,713,7828,43,19,10,4,12,15
80,89,129,222,370,15227,669,7779,43,19,9,1,12,16
80,89,130,219,384,15228,714,7829,45,19,10,5,12,16
80,90,128,226,372,15229,530,7638,42,19,11,7,12,15
80,89,130,220,384,15230,715,7830,45,19,11,1,12,16
80,89,130,231,369,15231,716,7612,44,19,10,1,12,16
80,90,128,226,372,15232,717,7831,42,19,10,1,12,16
80,88,129,215,390,15233,718,7832,56,20,10,0,12,16
80,88,129,213,389,15234,525,7632,56,20,10,1,12,16
80,89,130,231,369,15235,719,7833,44,19,10,1,12,16
80,89,130,230,369,15236,505,7635,44,19,10,0,12,16
80,89,130,231,369,15237,604,7706,44,19,9,0,12,16
80,91,129,210,386,15238,720,7834,41,19,9,0,12,16
80,89,129,220,384,15239,653,7763,43,19,9,1,12,16
80,90,128,226,372,15240,601,7835,42,19,9,5,12,16
80,89,130,231,369,15241,675,7706,44,19,9,0,12,16
80,88,129,214,386,15242,507,7614,41,19,9,0,12,16
80,88,129,221,383,15243,721,7836,43,19,10,4,13,15
80,89,130,231,484,15244,675,7685,44,19,10,1,12,16
80,89,129,215,384,15245,722,7837,41,19,10,1,12,16
